INFO   | jvm 1    | 2012/10/01 11:23:26 | INFO: Provider classes found:
INFO   | jvm 1    | 2012/10/01 11:23:26 |   class org.neo4j.server.rest.web.DatabaseBlockedExceptionMapper
INFO   | jvm 1    | 2012/10/01 11:23:26 | Oct 01, 2012 11:23:26 AM com.sun.jersey.server.impl.application.WebApplicationImpl _initiate
INFO   | jvm 1    | 2012/10/01 11:23:26 | INFO: Initiating Jersey application, version 'Jersey: 1.9 09/02/2011 11:17 AM'
INFO   | jvm 1    | 2012/10/01 11:23:26 | Oct 01, 2012 11:23:26 AM com.sun.jersey.api.core.PackagesResourceConfig init
INFO   | jvm 1    | 2012/10/01 11:23:26 | INFO: Scanning for root resource and provider classes in the packages:
INFO   | jvm 1    | 2012/10/01 11:23:26 |   org.neo4j.server.rest.discovery
INFO   | jvm 1    | 2012/10/01 11:23:26 | Oct 01, 2012 11:23:26 AM com.sun.jersey.api.core.ScanningResourceConfig logClasses
INFO   | jvm 1    | 2012/10/01 11:23:26 | INFO: Root resource classes found:
INFO   | jvm 1    | 2012/10/01 11:23:26 |   class org.neo4j.server.rest.discovery.DiscoveryService
INFO   | jvm 1    | 2012/10/01 11:23:26 | Oct 01, 2012 11:23:26 AM com.sun.jersey.api.core.ScanningResourceConfig init
INFO   | jvm 1    | 2012/10/01 11:23:26 | INFO: No provider classes found.
INFO   | jvm 1    | 2012/10/01 11:23:26 | Oct 01, 2012 11:23:26 AM com.sun.jersey.server.impl.application.WebApplicationImpl _initiate
INFO   | jvm 1    | 2012/10/01 11:23:26 | INFO: Initiating Jersey application, version 'Jersey: 1.9 09/02/2011 11:17 AM'
INFO   | jvm 1    | 2012/10/01 11:23:27 | Oct 01, 2012 11:23:26 AM org.mortbay.log.Slf4jLog info
INFO   | jvm 1    | 2012/10/01 11:23:27 | INFO: Started SelectChannelConnector@localhost:7474
INFO   | jvm 1    | 2012/10/01 11:23:27 | Oct 01, 2012 11:23:26 AM org.neo4j.server.logging.Logger log
INFO   | jvm 1    | 2012/10/01 11:23:27 | INFO: Server started on [http://localhost:7474/]
INFO   | jvm 1    | 2012/10/01 11:23:27 | Load class FusionFUSE successfully!
INFO   | jvm 1    | 2012/10/01 11:23:27 | Ready to launch FusionFUSE
INFO   | jvm 1    | 2012/10/01 11:23:27 | Loading C FusionFUSE library...
INFO   | jvm 1    | 2012/10/01 11:23:27 | Launching FusionFUSE Server thread...
INFO   | jvm 1    | 2012/10/01 11:24:46 | Received a file -> remotePath=/home/cshou/DataSys/PAFS/FusionFS/fusionFS/fusion_root/omgomg || remoteIP= || localPath=/home/cshou/DataSys/PAFS/FusionFS/fusionFS/fusion_root/omgomg
INFO   | jvm 1    | 2012/10/01 11:25:07 | Write get called -> pid=6042 || iotime=29 || path=/omgomg
INFO   | jvm 1    | 2012/10/01 11:26:29 | Read get called -> pid=6045 || iotime=10 || path=/omgomg
INFO   | jvm 1    | 2012/10/01 11:26:29 | Oct 01, 2012 11:26:29 AM spade.reporter.FusionFUSE createProgramVertex
INFO   | jvm 1    | 2012/10/01 11:26:29 | SEVERE: null
